Independents,Total Energy Consumption Increase,Total Energy Consumption Decrease,Energy Use Intensity Increase,Energy Use Intensity Decrease,Electricity Consumption Increase,Electricity Consumption Decrease,Heating Consumption Increase,Heating Consumption Decrease,Cooling Consumption Increase,Cooling Consumption Decrease,Gas Consumption Increase,Gas Consumption Decrease,Energy Per Capita Increase,Energy Per Capita Decrease
Occupant's age,"F. Belaïd, D. Roubaud, and E. Galariotis, “Features of residential energy consumption: Evidence from France using an innovative multilevel modelling approach,” Energy Policy, vol. 125, pp. 277–285, Feb. 2019, doi: 10.1016/j.enpol.2018.11.007.

J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715. 

H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969.

F. Belaïd, “Understanding the spectrum of domestic energy consumption: Empirical evidence from France,” Energy Policy, vol. 92, pp. 220–233, May 2016, doi: 10.1016/j.enpol.2016.02.015.

L. Wang, E. W. M. Lee, S. A. Hussian, A. C. Y. Yuen, and W. Feng, “Quantitative impact analysis of driving factors on annual residential building energy end-use combining machine learning and stochastic methods,” Applied Energy, vol. 299, Oct. 2021, doi: 10.1016/j.apenergy.2021.117303.

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003.",0,0,0,"R. Bardazzi and M. G. Pazienza, “When I was your age: Generational effects on long-run residential energy consumption in Italy,” Energy Research and Social Science, vol. 70, Dec. 2020, doi: 10.1016/j.erss.2020.101611.

W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile regression,” Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101.

Kostakis, Ioannis. 2020. “Socio-Demographic Determinants of Household Electricity Consumption: Evidence from Greece Using Quantile Regression Analysis.” Current Research in Environmental Sustainability 1 (January):23–30. https://doi.org/10.1016/j.crsust.2020.04.001.",0,"N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.

",0,0,"N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.

G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010. 

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.","R. Bardazzi and M. G. Pazienza, “When I was your age: Generational effects on long-run residential energy consumption in Italy,” Energy Research and Social Science, vol. 70, Dec. 2020, doi: 10.1016/j.erss.2020.101611.

Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

",0,"L. Wang, E. W. M. Lee, S. A. Hussian, A. C. Y. Yuen, and W. Feng, “Quantitative impact analysis of driving factors on annual residential building energy end-use combining machine learning and stochastic methods,” Applied Energy, vol. 299, Oct. 2021

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003.",0
Gender (male),,0,0,0,"R. Bardazzi and M. G. Pazienza, “When I was your age: Generational effects on long-run residential energy consumption in Italy,” Energy Research and Social Science, vol. 70, Dec. 2020, doi: 10.1016/j.erss.2020.101611.

W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile regression,” Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101.","Kostakis, Ioannis. 2020. “Socio-Demographic Determinants of Household Electricity Consumption: Evidence from Greece Using Quantile Regression Analysis.” Current Research in Environmental Sustainability 1 (January):23–30. https://doi.org/10.1016/j.crsust.2020.04.001.",0,0,0,0,0,0,0,0
Family size,"F. Belaïd, D. Roubaud, and E. Galariotis, “Features of residential energy consumption: Evidence from France using an innovative multilevel modelling approach,” Energy Policy, vol. 125, pp. 277–285, Feb. 2019, doi: 10.1016/j.enpol.2018.11.007.

 J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715.

N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.

B. Jaffar, T. Oreszczyn, R. Raslan, and A. Summerfield, “Understanding energy demand in Kuwaiti villas: Findings from a quantitative household survey,” Energy and Buildings, vol. 165, pp. 379–389, Apr. 2018, doi: 10.1016/j.enbuild.2018.01.055.

B. Wilson, “Urban form and residential electricity consumption: Evidence from Illinois, USA,” Landscape and Urban Planning, vol. 115, pp. 62–71, 2013, doi: 10.1016/j.landurbplan.2013.03.011.

G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.

Huebner, Gesche M., Ian Hamilton, Zaid Chalabi, David Shipworth, and Tadj Oreszczyn. 2015. “Explaining Domestic Energy Consumption – The Comparative Contribution of Building Factors, Socio-Demographics, Behaviours and Attitudes.” Applied Energy 159 (December):589–600. https://doi.org/10.1016/j.apenergy.2015.09.028.

Antonopoulos, Chrissi, Alec Trusty, and Vivek Shandas. 2019. “The Role of Building Characteristics, Demographics, and Urban Heat Islands in Shaping Residential Energy Use.” City and Environment Interactions 3 (November):100021. https://doi.org/10.1016/j.cacint.2020.100021.

Druckman, A., and T. Jackson. 2008. “Household Energy Consumption in the UK: A Highly Geographically and Socio-Economically Disaggregated Model.” Energy Policy 36 (8): 3177–92. https://doi.org/10.1016/j.enpol.2008.03.021.
","A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969.","X. Liu, H. Tang, Y. Ding, and D. Yan, “Investigating the performance of machine learning models combined with different feature selection methods to estimate the energy consumption of buildings,” Energy and Buildings, vol. 273, Oct. 2022, doi: 10.1016/j.enbuild.2022.112408.

J. Gao et al., “Dilution effect of the building area on energy intensity in urban residential buildings,” Nature Communications, vol. 10, no. 1, Dec. 2019, doi: 10.1038/s41467-019-12852-9.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.","R. Bardazzi and M. G. Pazienza, “When I was your age: Generational effects on long-run residential energy consumption in Italy,” Energy Research and Social Science, vol. 70, Dec. 2020, doi: 10.1016/j.erss.2020.101611.

W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile regression,” Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101.

J. Gao et al., “Dilution effect of the building area on energy intensity in urban residential buildings,” Nature Communications, vol. 10, no. 1, Dec. 2019, doi: 10.1038/s41467-019-12852-9.,  

M. Sakah, S. de la Rue du Can, F. A. Diawuo, M. D. Sedzro, and C. Kuhn, “A study of appliance ownership and electricity consumption determinants in urban Ghanaian households,” Sustainable Cities and Society, vol. 44, pp. 559–581, Jan. 2019, doi: 10.1016/j.scs.2018.10.019.

E. L. Navamuel, F. Rubiera Morollón, and B. Moreno Cuartas, “Energy consumption and urban sprawl: Evidence for the Spanish case,” Journal of Cleaner Production, vol. 172, pp. 3479–3486, Jan. 2018, doi: 10.1016/j.jclepro.2017.08.110.

Kostakis, Ioannis. 2020. “Socio-Demographic Determinants of Household Electricity Consumption: Evidence from Greece Using Quantile Regression Analysis.” Current Research in Environmental Sustainability 1 (January):23–30. https://doi.org/10.1016/j.crsust.2020.04.001.

Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

Ye, Yuxiang, Steven F. Koch, and Jiangfeng Zhang. 2018. “Determinants of Household Electricity Consumption in South Africa.” Energy Economics 75 (September):120–33. https://doi.org/10.1016/j.eneco.2018.08.005.

Huebner, Gesche, David Shipworth, Ian Hamilton, Zaid Chalabi, and Tadj Oreszczyn. 2016. “Understanding Electricity Consumption: A Comparative Contribution of Building Factors, Socio-Demographics, Appliances, Behaviours and Attitudes.” Applied Energy 177 (September):692–702. https://doi.org/10.1016/j.apenergy.2016.04.075.

Zaidan, Esmat, Ammar Abulibdeh, Ahmad Alban, and Rateb Jabbar. 2022. “Motivation, Preference, Socioeconomic, and Building Features: New Paradigm of Analyzing Electricity Consumption in Residential Buildings.” Building and Environment 219 (July):109177. https://doi.org/10.1016/j.buildenv.2022.109177.

",0,"S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.","G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.",0,0,"R. Bardazzi and M. G. Pazienza, “When I was your age: Generational effects on long-run residential energy consumption in Italy,” Energy Research and Social Science, vol. 70, Dec. 2020, doi: 10.1016/j.erss.2020.101611.


J. Zhang, F. Teng, and S. Zhou, “The structural changes and determinants of household energy choices and energy consumption in urban China: Addressing the role of building type,” Energy Policy, vol. 139, Apr. 2020, doi: 10.1016/j.enpol.2020.111314.",0,"D. Wiesmann, I. Lima Azevedo, P. Ferrão, and J. E. Fernández, “Residential electricity consumption in Portugal: Findings from top-down and bottom-up models,” Energy Policy, vol. 39, no. 5, pp. 2772–2779, May 2011, doi: 10.1016/j.enpol.2011.02.047.

Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

Druckman, A., and T. Jackson. 2008. “Household Energy Consumption in the UK: A Highly Geographically and Socio-Economically Disaggregated Model.” Energy Policy 36 (8): 3177–92. https://doi.org/10.1016/j.enpol.2008.03.021.

Dar-Mousa, Rami Nabil, and Zeyad Makhamreh. 2019. “Analysis of the Pattern of Energy Consumptions and Its Impact on Urban Environmental Sustainability in Jordan: Amman City as a Case Study.” Energy, Sustainability and Society 9 (1): 15. https://doi.org/10.1186/s13705-019-0197-0.


"
Household composition (adults) ,0,0,0,0,0,"Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.",0,0,0,0,0,0,0,0
Household composition (children) ,0,0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of 
urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.",0,"P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy 
use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.","H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.",0,0,0,0,0,0,0,0
Number of working individuals,0,0,0,0,"Kostakis, Ioannis. 2020. “Socio-Demographic Determinants of Household Electricity Consumption: Evidence from 
Greece Using Quantile Regression Analysis.” Current Research in Environmental Sustainability 1 (January):23–30. https://doi.org/10.1016/j.crsust.2020.04.001.",0,0,0,0,0,0,0,0,"L. Jiang, X. Shi, S. Wu, B. Ding, and Y. Chen, “What factors affect household energy consumption in mega-cities? A case study of Guangzhou, China,” Journal of Cleaner Production, vol. 363, Aug. 2022, doi: 10.1016/j.jclepro.2022.132388."
Number of employees ,0,0,0,0,"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,”
Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140. ",0,0,0,0,0,0,"P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.",0,0
Race (non-white) ,0,0,"D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.

B. Goldstein, T. G. Reames, and J. P. Newell, “Racial inequity in household energy efficiency and carbon emissions in the United States: An emissions paradox,” Energy Research and Social Science, vol. 84, Feb. 2022, doi: 10.1016/j.erss.2021.102365.","K. Tong et al., “Measuring social equity in urban energy use and interventions using fine-scale data,” Proceedings of the National Academy of Sciences of the United States of America, vol. 118, no. 24, 2021, doi: 10.1073/pnas.2023554118/-/DCSupplemental.",0,0,0,0,0,0,0,0,0,0
Race (white) ,0,0,0,0,0,0,0,0,0,0,0,0,"B. Goldstein, T. G. Reames, and J. P. Newell, 
“Racial inequity in household energy efficiency and carbon emissions in the United States: An emissions paradox,” Energy Research and Social Science, vol. 84, Feb. 2022, doi: 10.1016/j.erss.2021.102365.",0
Income,"J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715. 

H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969.

B. Jaffar, T. Oreszczyn, R. Raslan, and A. Summerfield, “Understanding energy demand in Kuwaiti villas: Findings from a quantitative household survey,” Energy and Buildings, vol. 165, pp. 379–389, Apr. 2018, doi: 10.1016/j.enbuild.2018.01.055.

B. Wilson, “Urban form and residential electricity consumption: Evidence from Illinois, USA,” Landscape and Urban Planning, vol. 115, pp. 62–71, 2013, doi: 10.1016/j.landurbplan.2013.03.011.

Y. J. Ahn and D. W. Sohn, “The effect of neighbourhood-level urban form on residential building energy use: A GIS-based model using building energy benchmarking data in Seattle,” Energy and Buildings, vol. 196, pp. 124–133, Aug. 2019, doi: 10.1016/j.enbuild.2019.05.018.

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003.

Antonopoulos, Chrissi, Alec Trusty, and Vivek Shandas. 2019. “The Role of Building Characteristics, Demographics, and Urban Heat Islands in Shaping Residential Energy Use.” City and Environment Interactions 3 (November):100021. https://doi.org/10.1016/j.cacint.2020.100021.

Dar-Mousa, Rami Nabil, and Zeyad Makhamreh. 2019. “Analysis of the Pattern of Energy Consumptions and Its Impact on Urban Environmental Sustainability in Jordan: Amman City as a Case Study.” Energy, Sustainability and Society 9 (1): 15. https://doi.org/10.1186/s13705-019-0197-0.

Yang, Tianren, and Xiaoling Zhang. 2016. “Benchmarking the Building Energy Consumption and Solar Energy Trade-Offs of Residential Neighborhoods on Chongming Eco-Island, China.” Applied Energy 180 (October):792–99. https://doi.org/10.1016/j.apenergy.2016.08.039.

Mashhoodi, Bardia, Dominic Stead, and Arjan Van Timmeren. 2020. “Local and National Determinants of Household Energy Consumption in the Netherlands.” GeoJournal 85 (2): 393–406. https://doi.org/10.1007/s10708-018-09967-9.

Chen, Shuqin, Jun Guan, Natasa Nord, Nianping Li, and Hiroshi Yoshino. 2019. “A Study of Citywide Urban Residential Energy Information System for the Building Energy Efficiency Management: A Cluster Model of Seven Typical Cities in China.” Energy Efficiency 12 (6): 1509–28. https://doi.org/10.1007/s12053-018-9768-8.

Miao, Lu. 2017. “Examining the Impact Factors of Urban Residential Energy Consumption and CO 2 Emissions in China – Evidence from City-Level Data.” Ecological Indicators 73 (February):29–37. https://doi.org/10.1016/j.ecolind.2016.09.031.

Druckman, A., and T. Jackson. 2008. “Household Energy Consumption in the UK: A Highly Geographically and Socio-Economically Disaggregated Model.” Energy Policy 36 (8): 3177–92. https://doi.org/10.1016/j.enpol.2008.03.021.","M. Mrówczyńska, M. Skiba, A. Bazan-Krzywoszańska, and M. Sztubecka, “Household standards and socio-economic aspects as a factor determining energy consumption in the city,” Applied Energy, vol. 264, Apr. 2020, doi: 10.1016/j.apenergy.2020.114680.",0,"D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.

K. Tong et al., “Measuring social equity in urban energy use and interventions using fine-scale data,” Proceedings of the National Academy of Sciences of the United States of America, vol. 118, no. 24, 2021, doi: 10.1073/pnas.2023554118/-/DCSupplemental.

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.

Chen, Chien-fei, Xiaojing Xu, Lazarus Adua, Morgan Briggs, and Hannah Nelson. 2022. “Exploring the Factors That Influence Energy Use Intensity across Low-, Middle-, and High-Income Households in the United States.” Energy Policy 168 (September):113071. https://doi.org/10.1016/j.enpol.2022.113071.

Ma, Jun, and Jack C.P. Cheng. 2016. “Identifying the Influential Features on the Regional Energy Use Intensity of Residential Buildings Based on Random Forests.” Applied Energy 183 (December):193–201. https://doi.org/10.1016/j.apenergy.2016.08.096.","W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile regression,”Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101., J. Gao et al., “Dilution effect of the building area on energy intensity in urban residential buildings,” Nature Communications, vol. 10, no. 1, Dec. 2019, doi: 10.1038/s41467-019-12852-9.

M. Sakah, S. de la Rue du Can, F. A. Diawuo, M. D. Sedzro, and C. Kuhn, “A study of appliance ownership and electricity consumption determinants in urban Ghanaian households,” Sustainable Cities and Society, vol. 44, pp. 559–581, Jan. 2019, doi: 10.1016/j.scs.2018.10.019.

E. L. Navamuel, F. Rubiera Morollón, and B. Moreno Cuartas, “Energy consumption and urban sprawl: Evidence for the Spanish case,” Journal of Cleaner Production, vol. 172, pp. 3479–3486, Jan. 2018, doi: 10.1016/j.jclepro.2017.08.110.

H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.

J. C. Nsangou, J. Kenfack, U. Nzotcha, P. S. Ngohe Ekam, J. Voufo, and T. T. Tamo, “Explaining household electricity consumption using quantile regression, decision tree and artificial neural network,” Energy, vol. 250, Jul. 2022, doi: 10.1016/j.energy.2022.123856.

Kostakis, Ioannis. 2020. “Socio-Demographic Determinants of Household Electricity Consumption: Evidence from Greece Using Quantile Regression Analysis.” Current Research in Environmental Sustainability 1 (January):23–30. https://doi.org/10.1016/j.crsust.2020.04.001.

Ye, Yuxiang, Steven F. Koch, and Jiangfeng Zhang. 2018. “Determinants of Household Electricity Consumption in South Africa.” Energy Economics 75 (September):120–33. https://doi.org/10.1016/j.eneco.2018.08.005.

Zaidan, Esmat, Ammar Abulibdeh, Ahmad Alban, and Rateb Jabbar. 2022. “Motivation, Preference, Socioeconomic, and Building Features: New Paradigm of Analyzing Electricity Consumption in Residential Buildings.” Building and Environment 219 (July):109177. https://doi.org/10.1016/j.buildenv.2022.109177.

","J. Zhang, F. Teng, and S. Zhou, “The structural changes and determinants of household energy choices and energy consumption in urban China: Addressing the role of building type,” Energy Policy, vol. 139, Apr. 2020, doi: 10.1016/j.enpol.2020.111314.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.

S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.

","K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.          ","N. Mostafavi, M. Farzinmoghadam, and S. Hoque,  “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.

G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.

A. Andreou, J. Barrett, P. G. Taylor, P. E. Brockway, and Z. Wadud, “Decomposing the drivers of residential space cooling energy consumption in EU-28 countries using a panel data approach,” Energy and Built Environment, vol. 1, no. 4, pp. 432–442, Oct. 2020, doi: 10.1016/j.enbenv.2020.03.005.",0,"M. Namazkhan, C. Albers, and L. Steg, “A decision tree method for explaining household gas consumption: The role of building characteristics, socio-demographic variables, psychological factors and household behaviour,” Renewable and Sustainable Energy Reviews, vol. 119, Mar. 2020, doi: 10.1016/j.rser.2019.109542.

Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

",0,"D. Wiesmann, I. Lima Azevedo, P. Ferrão, and J. E. 
Fernández, “Residential electricity consumption in Portugal: Findings from top-down and bottom-up models,” Energy Policy, vol. 39, no. 5, pp. 2772–2779, May 2011, doi: 10.1016/j.enpol.2011.02.047.

L. Jiang, X. Shi, S. Wu, B. Ding, and Y. Chen, “What factors affect household energy consumption in mega-cities? A case study of Guangzhou, China,” Journal of Cleaner Production, vol. 363, Aug. 2022, doi: 10.1016/j.jclepro.2022.132388.

W. H. Huang, “Sources of inequality in household electricity consumption: evidence from Taiwan,” Energy Sources, Part B: Economics, Planning and Policy, vol. 17, no. 1, 2022, doi: 10.1080/15567249.2021.1966133.

P. Newton and D. Meyer, “The determinants of urban resource consumption,” Environment and Behavior, vol. 44, no. 1, pp. 107–135, Jan. 2012, doi: 10.1177/0013916510390494.

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003.",0
